Date,Open,High,Low,Close,Adj Close,Volume
2006-07-27,62.150002,63.200001,62.049999,63.150002,44.733017,34466900
2006-08-03,63.099998,63.720001,63.029999,63.320000,44.853416,30888500
2006-08-10,63.360001,64.750000,63.299999,64.610001,45.767223,33225700
2006-08-17,64.660004,64.680000,63.799999,63.910000,45.271358,37865600
2006-08-24,64.300003,65.129997,64.239998,64.599998,45.760120,31921800
2006-08-31,64.660004,64.889999,63.919998,63.919998,45.541183,24908400
2006-09-07,63.509998,64.089996,63.250000,63.810001,45.462818,31813100
2006-09-14,63.750000,64.500000,63.419998,64.190002,45.733547,33555300
2006-09-21,64.169998,64.870003,63.849998,64.820000,46.182419,30170800
2006-09-28,64.879997,65.879997,64.650002,65.830002,46.902012,32037900
2006-10-05,65.300003,65.639999,64.660004,65.099998,46.381893,31581400
2006-10-12,65.230003,68.150002,64.500000,68.150002,48.554947,53861000
2006-10-19,68.000000,69.410004,67.839996,68.830002,49.039421,47475800
2006-10-26,68.769997,68.889999,66.849998,67.180000,47.863846,48388600
2006-11-02,67.150002,69.029999,67.089996,67.989998,48.440945,50507900
2006-11-09,67.519997,67.739998,65.309998,66.540001,47.407867,54620600
2006-11-16,66.500000,67.599998,65.809998,66.769997,47.571724,44833500
2006-11-23,66.500000,66.550003,65.220001,66.199997,47.165623,27165100
2006-11-30,66.199997,66.720001,65.330002,66.029999,47.310211,38196700
2006-12-07,66.250000,66.639999,65.290001,65.470001,46.908981,42061400
2006-12-14,65.779999,67.250000,65.500000,66.430000,47.596802,49976800
2006-12-21,66.230003,66.379997,65.449997,66.010002,47.295876,23769800
2006-12-28,65.860001,67.099998,65.860001,66.400002,47.575302,24172500
2007-01-04,65.900002,67.620003,65.900002,66.150002,47.396210,39259300
2007-01-11,66.400002,67.379997,66.279999,66.870003,47.912060,29714500
2007-01-18,66.459999,68.220001,66.129997,67.010002,48.012379,51778200
2007-01-25,66.809998,67.040001,65.989998,66.800003,47.861904,41997100
2007-02-01,66.800003,67.150002,65.650002,65.800003,47.145420,44051600
2007-02-08,65.760002,66.099998,65.279999,65.849998,47.181236,36353500
2007-02-15,65.750000,65.930000,64.959999,65.000000,46.572208,41698300
2007-02-22,64.970001,65.070000,62.720001,62.930000,45.089077,70272000
2007-03-01,62.349998,62.930000,61.369999,61.860001,44.580490,77755700
2007-03-08,62.000000,62.349998,60.110001,60.709999,43.751728,71411500
2007-03-15,60.700001,61.340000,60.250000,61.220001,44.119270,62265200
2007-03-22,61.220001,61.480000,59.869999,60.000000,43.240055,76590000
2007-03-29,60.380001,61.349998,59.950001,61.290001,44.169701,64897800
2007-04-05,61.340000,62.290001,61.230000,61.889999,44.602100,39350400
2007-04-12,61.549999,65.400002,61.500000,64.430000,46.432602,78113600
2007-04-19,64.940002,65.449997,64.300003,64.680000,46.612770,62462700
2007-04-26,64.489998,64.940002,63.750000,64.480003,46.468639,52294000
