"sub","number","name","url"
"BIO","105L","Intro to Physiology of Exercise Lab","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/100/BIO-105L"
"BIO","106","Readings in Biology","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/100/BIO-106"
"BIO","108","Human Genetics","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/100/BIO-108"
"BIO","109","Biology of Reproduction","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/100/BIO-109"
"BIO","109L","Biology of Reproduction Lab","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/100/BIO-109L"
"BIO","122L","Intro/Environmntl Biology Lab","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/100/BIO-122L"
"BIO","129","Murder, Medicine and Magic","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/100/BIO-129"
"BIO","129L","Murder, Medicine and Magic Lab","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/100/BIO-129L"
"BIO","140","Idaho Natural History","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/100/BIO-140"
"BIO","140L","Idaho Natural History Lab","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/100/BIO-140L"
"BIO","145","Drugs, Brains and Behavior","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/100/BIO-145"
"BIO","145L","Drugs, Brain and Behavior Lab","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/100/BIO-145L"
"BIO","159","Cellular Basis of Human Physiology","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/100/BIO-159"
"BIO","159L","Cellular Basis of Human Physiology Lab","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/100/BIO-159L"
"BIO","198","Biology Colloquium","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/100/BIO-198"
"BIO","199T","Special Topics in Biology","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/100/BIO-199T"
"BIO","201","Biology I: Molecules to Cells","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/200/BIO-201"
"BIO","201L","Molecules to Cells Lab","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/200/BIO-201L"
"BIO","202","Organismal Biology","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/200/BIO-202"
"BIO","202L","Organismal Biology","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/200/BIO-202L"
"BIO","203","Ecology, Evolution and Diversity","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/200/BIO-203"
"BIO","203L","Ecology Evolution and Diversity Lab","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/200/BIO-203L"
"BIO","210L","Molecules to Cells Research-Based Lab","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/200/BIO-210L"
"BIO","221","Population& Ecosystem Biology","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/200/BIO-221"
"BIO","224","Human Anatomy and Physiology I","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/200/BIO-224"
"BIO","224L","Human Anatomy and Physiology I Lab","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/200/BIO-224L"
"BIO","225","Human Anatomy and Physiology II","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/200/BIO-225"
"BIO","225L","Human Anatomy and Physiology II Lab","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/200/BIO-225L"
"BIO","294","Independent Study","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/200/BIO-294"
"BIO","299T","Special Topics in Biology","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/200/BIO-299T"
"BIO","306","Conservation Biology","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-306"
"BIO","311","Molecular Biotechnology","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-311"
"BIO","311L","Molecular Biotechnology Lab","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-311L"
"BIO","316","Genetics","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-316"
"BIO","317","Stream Ecology","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-317"
"BIO","317L","Stream Ecology Lab","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-317L"
"BIO","319","Ichthyology","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-319"
